"Personen naar door de huisarts geregistreerde diagnose; inkomen";;;;
;;;Cijfersoort;Aantal
;;;Onderwerpen;Personen met 1 of meer zorgepisodes
;;;Onderwerpen;T. Endocriene kl./metabol. /voeding
;;;Onderwerpen;Ziekten
;;;Onderwerpen;Diabetes mellitus
Perioden;Inkomensgroepen;Geslacht;Leeftijd;per 1000 personen
2007;3e 10%-inkomensgroep;Totaal mannen en vrouwen;Totaal leeftijd;61
2007;3e 10%-inkomensgroep;Totaal mannen en vrouwen;0 tot 15 jaar;2
2007;3e 10%-inkomensgroep;Totaal mannen en vrouwen;15 tot 30 jaar;.
2007;3e 10%-inkomensgroep;Totaal mannen en vrouwen;30 tot 45 jaar;10
2007;3e 10%-inkomensgroep;Totaal mannen en vrouwen;45 tot 60 jaar;56
2007;3e 10%-inkomensgroep;Totaal mannen en vrouwen;60 tot 75 jaar;147
2007;3e 10%-inkomensgroep;Totaal mannen en vrouwen;75 jaar of ouder;184
2007;3e 10%-inkomensgroep;Mannen;Totaal leeftijd;51
2007;3e 10%-inkomensgroep;Mannen;0 tot 15 jaar;.
2007;3e 10%-inkomensgroep;Mannen;15 tot 30 jaar;.
2007;3e 10%-inkomensgroep;Mannen;30 tot 45 jaar;12
2007;3e 10%-inkomensgroep;Mannen;45 tot 60 jaar;53
2007;3e 10%-inkomensgroep;Mannen;60 tot 75 jaar;144
2007;3e 10%-inkomensgroep;Mannen;75 jaar of ouder;163
2007;3e 10%-inkomensgroep;Vrouwen;Totaal leeftijd;69
2007;3e 10%-inkomensgroep;Vrouwen;0 tot 15 jaar;.
2007;3e 10%-inkomensgroep;Vrouwen;15 tot 30 jaar;.
2007;3e 10%-inkomensgroep;Vrouwen;30 tot 45 jaar;8
2007;3e 10%-inkomensgroep;Vrouwen;45 tot 60 jaar;58
2007;3e 10%-inkomensgroep;Vrouwen;60 tot 75 jaar;149
2007;3e 10%-inkomensgroep;Vrouwen;75 jaar of ouder;196
2007;4e 10%-inkomensgroep;Totaal mannen en vrouwen;Totaal leeftijd;46
2007;4e 10%-inkomensgroep;Totaal mannen en vrouwen;0 tot 15 jaar;.
2007;4e 10%-inkomensgroep;Totaal mannen en vrouwen;15 tot 30 jaar;2
2007;4e 10%-inkomensgroep;Totaal mannen en vrouwen;30 tot 45 jaar;10
2007;4e 10%-inkomensgroep;Totaal mannen en vrouwen;45 tot 60 jaar;50
2007;4e 10%-inkomensgroep;Totaal mannen en vrouwen;60 tot 75 jaar;126
2007;4e 10%-inkomensgroep;Totaal mannen en vrouwen;75 jaar of ouder;168
2007;4e 10%-inkomensgroep;Mannen;Totaal leeftijd;44
2007;4e 10%-inkomensgroep;Mannen;0 tot 15 jaar;.
2007;4e 10%-inkomensgroep;Mannen;15 tot 30 jaar;.
2007;4e 10%-inkomensgroep;Mannen;30 tot 45 jaar;12
2007;4e 10%-inkomensgroep;Mannen;45 tot 60 jaar;60
2007;4e 10%-inkomensgroep;Mannen;60 tot 75 jaar;130
2007;4e 10%-inkomensgroep;Mannen;75 jaar of ouder;160
2007;4e 10%-inkomensgroep;Vrouwen;Totaal leeftijd;47
2007;4e 10%-inkomensgroep;Vrouwen;0 tot 15 jaar;.
2007;4e 10%-inkomensgroep;Vrouwen;15 tot 30 jaar;.
