Sector,Jaar,BrutoToegevoegdeWaardeBasisprijzen,BrutoToegevoegdeWaardeBasisprijzenIndex
31-32 Meubel- en overige industrie,2010,4560,110.1
31-32 Meubel- en overige industrie,2011,4623,109.6
33 Reparatie en installatie van machines,1988,2483,79.3
33 Reparatie en installatie van machines,1989,2873,85.7
33 Reparatie en installatie van machines,1990,3279,85.1
33 Reparatie en installatie van machines,1991,3516,79.5
33 Reparatie en installatie van machines,1992,3503,84.1
33 Reparatie en installatie van machines,1993,3197,93
33 Reparatie en installatie van machines,1994,3130,88.2
33 Reparatie en installatie van machines,1995,3345,87.4
33 Reparatie en installatie van machines,1996,3162,80.9
33 Reparatie en installatie van machines,1997,3332,81.6
33 Reparatie en installatie van machines,1998,3590,86.3
33 Reparatie en installatie van machines,1999,3621,89.2
33 Reparatie en installatie van machines,2000,4009,86.9
33 Reparatie en installatie van machines,2001,4150,87.3
33 Reparatie en installatie van machines,2002,4104,93.3
33 Reparatie en installatie van machines,2003,3971,95.9
33 Reparatie en installatie van machines,2004,4103,95.7
33 Reparatie en installatie van machines,2005,4307,100
33 Reparatie en installatie van machines,2006,4783,101.2
33 Reparatie en installatie van machines,2007,5236,101.1
33 Reparatie en installatie van machines,2008,5398,106.6
33 Reparatie en installatie van machines,2009,5099,110.1
33 Reparatie en installatie van machines,2010,5580,107.3
33 Reparatie en installatie van machines,2011,5822,106.6
35 Energiebedrijven,1988,7586,66.2
35 Energiebedrijven,1989,7872,66.4
35 Energiebedrijven,1990,9161,68.2
35 Energiebedrijven,1991,10574,69.2
35 Energiebedrijven,1992,10494,72.4
35 Energiebedrijven,1993,10816,75.3
35 Energiebedrijven,1994,11152,77.8
35 Energiebedrijven,1995,11798,80.7
35 Energiebedrijven,1996,12668,81.1
35 Energiebedrijven,1997,13469,79.9
35 Energiebedrijven,1998,13422,86.1
35 Energiebedrijven,1999,13270,88.8
