geslacht,generatie,leeftijd,participatie
vrouw,1961-1965,43,68.2
vrouw,1966-1970,43,75.9
vrouw,1971-1975,43,
vrouw,1976-1980,43,
vrouw,1981-1985,43,
vrouw,1986-1990,43,
man,1906-1910,43,
man,1911-1915,43,
man,1916-1920,43,
man,1921-1925,43,
man,1926-1930,43,95.8
man,1931-1935,43,92.6
man,1936-1940,43,89.7
man,1941-1945,43,87.7
man,1946-1950,43,88.6
man,1951-1955,43,90.1
man,1956-1960,43,90.9
man,1961-1965,43,90.7
man,1966-1970,43,90.1
man,1971-1975,43,
man,1976-1980,43,
man,1981-1985,43,
man,1986-1990,43,
vrouw,1906-1910,44,
vrouw,1911-1915,44,
vrouw,1916-1920,44,
vrouw,1921-1925,44,
vrouw,1926-1930,44,22
vrouw,1931-1935,44,21
vrouw,1936-1940,44,28.6
vrouw,1941-1945,44,36.5
vrouw,1946-1950,44,45.7
vrouw,1951-1955,44,55.1
vrouw,1956-1960,44,64.1
vrouw,1961-1965,44,70.3
vrouw,1966-1970,44,
vrouw,1971-1975,44,
vrouw,1976-1980,44,
vrouw,1981-1985,44,
vrouw,1986-1990,44,
man,1906-1910,44,
man,1911-1915,44,
man,1916-1920,44,
man,1921-1925,44,
man,1926-1930,44,94.8
man,1931-1935,44,91.7
man,1936-1940,44,87.5
man,1941-1945,44,88.1
man,1946-1950,44,88.1
man,1951-1955,44,89.7
man,1956-1960,44,90.8
man,1961-1965,44,91.2
man,1966-1970,44,
man,1971-1975,44,
man,1976-1980,44,
man,1981-1985,44,
man,1986-1990,44,
vrouw,1906-1910,45,
vrouw,1911-1915,45,
vrouw,1916-1920,45,
vrouw,1921-1925,45,
vrouw,1926-1930,45,20.4
vrouw,1931-1935,45,22.4
vrouw,1936-1940,45,28.5
vrouw,1941-1945,45,38.7
vrouw,1946-1950,45,47
vrouw,1951-1955,45,57.1
vrouw,1956-1960,45,64.9
vrouw,1961-1965,45,71.3
vrouw,1966-1970,45,
