Jaar,Sector,Energieaanbod,Energieverbruik
2006,29-30 Transportmiddelenindustrie,4.61,4.61
2006,31-33 Overige industrie en reparatie,21.95,21.95
2006,F Bouwnijverheid,27.04,
2006,Vervoer,500.12,500.12
2006,Railverkeer,7.5,7.5
2006,Wegverkeer,479.03,479.03
2006,Scheepvaart,10.51,10.51
2006,Luchtvaart,3.07,3.07
2006,Particuliere huishoudens,411.74,411.74
2006,Landbouw  visserij en dienstverlening,555.9,555.9
2006,Landbouw,173.47,
2006,Visserij,,
2006,E Waterbedrijven en afvalbeheer,56.29,
2006,G-U Dienstverlening,326.14,
2007,Nederland totaal,3354.78,3354.57
2007,Energiesector,601.07,600.82
2007,06 Winning van aardolie en aardgas,31.68,31.68
2007,Cokesfabrieken,13.84,13.91
2007,192 Aardolie-industrie,195.73,195.73
2007,35 Energiebedrijven,359.82,359.5
2007,Totaal energieafnemers,2753.71,2753.75
2007,Nijverheid (geen energiesector),1316.13,1316.17
2007,08 Delfstoffenwinning (geen olie en gas),14.11,14.11
2007,10-12 Voedings-  genotmiddelenindustrie,92.6,92.6
2007,13-15 Textiel-  kleding-  lederindustrie,4.84,4.84
2007,16 Houtindustrie,3.42,3.42
2007,17-18 Papier- en grafische industrie,39.07,39.07
2007,20-21 Chemie en farmaceutische industrie,900.85,900.89
2007,Basischemie zonder 2013-2015,67.69,67.69
2007,2013 Overige anorganische basischemie,45.07,45.11
2007,2014 Overige organische basischemie,676.65,676.65
2007,2015 Kunstmestindustrie,92.2,92.2
2007,Chemische en farmaceutische producten,19.25,19.25
2007,23 Bouwmaterialenindustrie,33.65,33.65
2007,24 Basismetaalindustrie,135.21,135.21
2007,IJzer- en staalindustrie,103.96,103.96
2007,Non-ferrometalenindustrie,31.25,31.25
2007,25-28 Metaalproducten/machine-industrie,40.61,40.61
2007,29-30 Transportmiddelenindustrie,4.64,4.64
2007,31-33 Overige industrie en reparatie,18.24,18.24
2007,F Bouwnijverheid,28.89,
2007,Vervoer,505.19,505.19
2007,Railverkeer,7.26,7.26
2007,Wegverkeer,486.82,486.82
2007,Scheepvaart,7.95,7.95
2007,Luchtvaart,3.16,3.16
2007,Particuliere huishoudens,387.49,387.49
2007,Landbouw  visserij en dienstverlening,544.9,544.9
2007,Landbouw,148.98,
2007,Visserij,,
2007,E Waterbedrijven en afvalbeheer,59.26,
2007,G-U Dienstverlening,336.65,
2008,Nederland totaal,3334.34,3334.55
2008,Energiesector,582.08,582.2
2008,06 Winning van aardolie en aardgas,34.44,34.44
2008,Cokesfabrieken,14.6,14.6
2008,192 Aardolie-industrie,171.28,171.28
2008,35 Energiebedrijven,361.76,361.88
2008,Totaal energieafnemers,2752.26,2752.34
2008,Nijverheid (geen energiesector),1242.48,1242.56
2008,08 Delfstoffenwinning (geen olie en gas),9.41,9.41
2008,10-12 Voedings-  genotmiddelenindustrie,88.59,88.59
2008,13-15 Textiel-  kleding-  lederindustrie,4.66,4.66
2008,16 Houtindustrie,3.25,3.25
2008,17-18 Papier- en grafische industrie,36.72,36.72
2008,20-21 Chemie en farmaceutische industrie,838.72,838.81
2008,Basischemie zonder 2013-2015,65.7,65.7
2008,2013 Overige anorganische basischemie,44.57,44.66
2008,2014 Overige organische basischemie,623.09,623.09
2008,2015 Kunstmestindustrie,87.23,87.23
2008,Chemische en farmaceutische producten,18.13,18.13
2008,23 Bouwmaterialenindustrie,33.37,33.37
2008,24 Basismetaalindustrie,129.67,129.67
2008,IJzer- en staalindustrie,97.54,97.54
2008,Non-ferrometalenindustrie,32.12,32.12
2008,25-28 Metaalproducten/machine-industrie,43.46,43.46
2008,29-30 Transportmiddelenindustrie,5.45,5.45
2008,31-33 Overige industrie en reparatie,19.44,19.44
2008,F Bouwnijverheid,29.75,
2008,Vervoer,504.46,504.46
2008,Railverkeer,7.37,7.37
2008,Wegverkeer,487.94,487.94
2008,Scheepvaart,6.31,6.31
2008,Luchtvaart,2.84,2.84
2008,Particuliere huishoudens,424.28,424.28
2008,Landbouw  visserij en dienstverlening,581.04,581.04
2008,Landbouw,205.67,
2008,Visserij,,
2008,E Waterbedrijven en afvalbeheer,67.02,
2008,G-U Dienstverlening,308.35,
2009,Nederland totaal,3265.89,3265.38
2009,Energiesector,599.21,598.76
2009,06 Winning van aardolie en aardgas,35.66,35.66
2009,Cokesfabrieken,12.87,12.51
2009,192 Aardolie-industrie,175.16,175.16
2009,35 Energiebedrijven,375.52,375.44
2009,Totaal energieafnemers,2666.68,2666.63
2009,Nijverheid (geen energiesector),1167.87,1167.82
2009,08 Delfstoffenwinning (geen olie en gas),5.86,5.86
2009,10-12 Voedings-  genotmiddelenindustrie,79.44,79.44
2009,13-15 Textiel-  kleding-  lederindustrie,4.35,4.35
2009,16 Houtindustrie,3.49,3.49
2009,17-18 Papier- en grafische industrie,30.25,30.25
2009,20-21 Chemie en farmaceutische industrie,823.3,823.3
2009,Basischemie zonder 2013-2015,64.75,64.75
2009,2013 Overige anorganische basischemie,36.79,36.79
2009,2014 Overige organische basischemie,617.62,617.62
2009,2015 Kunstmestindustrie,86.91,86.91
2009,Chemische en farmaceutische producten,17.23,17.23
2009,23 Bouwmaterialenindustrie,30.26,30.26
2009,24 Basismetaalindustrie,101.35,101.3
2009,IJzer- en staalindustrie,81.69,81.64
2009,Non-ferrometalenindustrie,19.66,19.66
2009,25-28 Metaalproducten/machine-industrie,46.25,46.25
2009,29-30 Transportmiddelenindustrie,5.51,5.51
2009,31-33 Overige industrie en reparatie,15.49,15.49
2009,F Bouwnijverheid,22.31,
2009,Vervoer,489.42,489.42
2009,Railverkeer,7.18,7.18
2009,Wegverkeer,472.4,472.4
2009,Scheepvaart,7.2,7.2
2009,Luchtvaart,2.63,2.63
2009,Particuliere huishoudens,424.65,424.65
2009,Landbouw  visserij en dienstverlening,584.74,584.74
2009,Landbouw,166.89,
2009,Visserij,,
2009,E Waterbedrijven en afvalbeheer,64.23,
2009,G-U Dienstverlening,353.62,
2010,Nederland totaal,3492.24,3492.64
2010,Energiesector,608.22,608.29
2010,06 Winning van aardolie en aardgas,38.32,38.32
2010,Cokesfabrieken,13.42,13.66
2010,192 Aardolie-industrie,177.25,177.25
2010,35 Energiebedrijven,379.22,379.06
2010,Totaal energieafnemers,2884.03,2884.35
2010,Nijverheid (geen energiesector),1293.28,1293.6
2010,08 Delfstoffenwinning (geen olie en gas),8.32,8.32
2010,10-12 Voedings-  genotmiddelenindustrie,84.1,84.1
2010,13-15 Textiel-  kleding-  lederindustrie,4.9,4.9
2010,16 Houtindustrie,3.32,3.32
2010,17-18 Papier- en grafische industrie,31.45,31.45
2010,20-21 Chemie en farmaceutische industrie,913.53,913.71
2010,Basischemie zonder 2013-2015,76.66,76.92
2010,2013 Overige anorganische basischemie,37.76,37.76
