gender,age,year,prognosis
Female,85-90,2024,173892
TOTAL,85-90,2024,285291
Male,90-95,2024,39660
Female,90-95,2024,84986
TOTAL,90-95,2024,124646
Male,95+,2024,8054
Female,95+,2024,27255
TOTAL,95+,2024,35309
Male,TOTAL,2024,8633765
Female,TOTAL,2024,8806471
TOTAL,TOTAL,2024,17440236
Male,00-05,2025,484747
Female,00-05,2025,461923
TOTAL,00-05,2025,946670
Male,05-10,2025,472269
Female,05-10,2025,450385
TOTAL,05-10,2025,922654
Male,10-15,2025,467847
Female,10-15,2025,446912
TOTAL,10-15,2025,914759
Male,15-20,2025,483466
Female,15-20,2025,462211
TOTAL,15-20,2025,945677
Male,20-25,2025,544902
Female,20-25,2025,533057
TOTAL,20-25,2025,1077960
Male,25-30,2025,553422
Female,25-30,2025,543328
TOTAL,25-30,2025,1096750
Male,30-35,2025,561994
Female,30-35,2025,555076
TOTAL,30-35,2025,1117070
Male,35-40,2025,533754
Female,35-40,2025,532400
TOTAL,35-40,2025,1066154
Male,40-45,2025,506208
Female,40-45,2025,508801
TOTAL,40-45,2025,1015009
Male,45-50,2025,499371
Female,45-50,2025,503636
TOTAL,45-50,2025,1003008
Male,50-55,2025,572947
Female,50-55,2025,580246
TOTAL,50-55,2025,1153193
Male,55-60,2025,616985
Female,55-60,2025,617806
TOTAL,55-60,2025,1234791
Male,60-65,2025,595179
Female,60-65,2025,601480
TOTAL,60-65,2025,1196658
Male,65-70,2025,520560
Female,65-70,2025,537440
TOTAL,65-70,2025,1058000
Male,70-75,2025,449807
Female,70-75,2025,475738
TOTAL,70-75,2025,925545
Male,75-80,2025,397240
Female,75-80,2025,442175
TOTAL,75-80,2025,839415
Male,80-85,2025,229270
Female,80-85,2025,285937
TOTAL,80-85,2025,515207
Male,85-90,2025,116620
Female,85-90,2025,178885
TOTAL,85-90,2025,295505
Male,90-95,2025,41332
Female,90-95,2025,86423
TOTAL,90-95,2025,127755
Male,95+,2025,8527
Female,95+,2025,28043
TOTAL,95+,2025,36569
Male,TOTAL,2025,8656447
Female,TOTAL,2025,8831901
TOTAL,TOTAL,2025,17488348
Male,00-05,2026,486733
Female,00-05,2026,463778
TOTAL,00-05,2026,950511
Male,05-10,2026,475300
Female,05-10,2026,453143
TOTAL,05-10,2026,928443
