"";"Onderwerpen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen"
"10-12 Voedings-, genotmiddelenindustrie";"2000";"45165";"35232";"9933";"11181";"0.9";"0.4";"2.4";"95.3";"97.3";"88.8"
"10-12 Voedings-, genotmiddelenindustrie";"2001";"46991";"36535";"10456";"11188";"-0.9";"-1.2";"0.1";"100.1";"102.2";"93.5"
"10-12 Voedings-, genotmiddelenindustrie";"2002";"46621";"35462";"11158";"11456";"-0.6";"-1.5";"2.4";"99.9";"100.6";"97.4"
"10-12 Voedings-, genotmiddelenindustrie";"2003";"46915";"35377";"11538";"11382";"0.4";"0.7";"-0.6";"100.1";"99.7";"101.4"
"10-12 Voedings-, genotmiddelenindustrie";"2004";"47704";"36100";"11604";"11493";"1.1";"1.1";"1.0";"100.7";"100.6";"101.0"
"10-12 Voedings-, genotmiddelenindustrie";"2005";"48287";"36350";"11937";"11937";"1.9";"1.3";"3.9";"100.0";"100.0";"100.0"
"10-12 Voedings-, genotmiddelenindustrie";"2006";"50266";"38115";"12151";"12186";"1.9";"1.9";"2.1";"102.1";"102.9";"99.7"
"10-12 Voedings-, genotmiddelenindustrie";"2007";"55769";"42663";"13106";"12547";"2.3";"2.1";"3.0";"110.7";"112.8";"104.5"
"10-12 Voedings-, genotmiddelenindustrie";"2008";"59679";"46763";"12916";"12305";"0.5";"1.2";"-1.9";"118.0";"122.2";"105.0"
"10-12 Voedings-, genotmiddelenindustrie";"2009";"56289";"42743";"13546";"12414";"0.1";"-0.1";"0.9";"111.2";"111.9";"109.1"
"10-12 Voedings-, genotmiddelenindustrie";"2010**";"60218";"46687";"13531";"12498";"1.9";"2.3";"0.7";"116.7";"119.4";"108.3"
"10-12 Voedings-, genotmiddelenindustrie";"2011*";"66861";"52574";"14287";"12623";"1.9";"2.2";"1.0";"127.1";"131.6";"113.2"
"13-15 Textiel-, kleding-, lederindustrie";"1988";"3888";"2557";"1331";"1322";".";".";".";"89.8";"85.5";"100.7"
"13-15 Textiel-, kleding-, lederindustrie";"1989";"4168";"2790";"1378";"1359";"6.0";"7.7";"2.9";"90.8";"86.6";"101.4"
"13-15 Textiel-, kleding-, lederindustrie";"1990";"4400";"2944";"1456";"1398";"4.8";"5.7";"2.8";"91.5";"86.5";"104.2"
"13-15 Textiel-, kleding-, lederindustrie";"1991";"4389";"2934";"1455";"1383";"-1.0";"-1.0";"-1.0";"92.2";"87.0";"105.2"
"13-15 Textiel-, kleding-, lederindustrie";"1992";"4189";"2788";"1401";"1315";"-4.8";"-4.7";"-4.9";"92.4";"86.8";"106.5"
"13-15 Textiel-, kleding-, lederindustrie";"1993";"4166";"2752";"1414";"1331";"-0.4";"-1.3";"1.2";"92.3";"86.7";"106.2"
"13-15 Textiel-, kleding-, lederindustrie";"1994";"4250";"2872";"1378";"1323";"1.6";"2.8";"-0.6";"92.6";"88.1";"104.2"
"13-15 Textiel-, kleding-, lederindustrie";"1995";"4174";"2870";"1304";"1237";"-3.3";"-1.7";"-6.5";"94.1";"89.6";"105.4"
"13-15 Textiel-, kleding-, lederindustrie";"1996";"4047";"2837";"1210";"1196";"-2.6";"-2.3";"-3.3";"93.6";"90.6";"101.1"
"13-15 Textiel-, kleding-, lederindustrie";"1997";"4118";"2909";"1209";"1213";"1.3";"1.3";"1.4";"94.0";"91.7";"99.7"
"13-15 Textiel-, kleding-, lederindustrie";"1998";"4316";"3004";"1312";"1285";"3.7";"2.7";"6.0";"95.1";"92.2";"102.1"
"13-15 Textiel-, kleding-, lederindustrie";"1999";"4294";"2968";"1326";"1291";"-0.6";"-1.1";"0.5";"95.2";"92.1";"102.7"
