"X","Onderwerpen","Indexcijfers.omzet","Omzetontwikkeling"
"Bedrijfstak/branches (SBI 2008)","Perioden","2005 = 100","%"
"501-502 Zee- en kustvaart","2007 2e kwartaal","82,1","11,1"
"501-502 Zee- en kustvaart","2007 3e kwartaal","87,2","16,2"
"501-502 Zee- en kustvaart","2007 4e kwartaal","84,5","18,8"
"501-502 Zee- en kustvaart","2007","82,7","9,0"
"501-502 Zee- en kustvaart","2008 1e kwartaal","81,7","5,9"
"501-502 Zee- en kustvaart","2008 2e kwartaal","85,3","3,9"
"501-502 Zee- en kustvaart","2008 3e kwartaal","86,8","-0,4"
"501-502 Zee- en kustvaart","2008 4e kwartaal","89,4","5,8"
"501-502 Zee- en kustvaart","2008","85,8","3,7"
"501-502 Zee- en kustvaart","2009 1e kwartaal","72,7","-11,0"
"501-502 Zee- en kustvaart","2009 2e kwartaal","68,7","-19,4"
"501-502 Zee- en kustvaart","2009 3e kwartaal","67,1","-22,7"
"501-502 Zee- en kustvaart","2009 4e kwartaal","63,3","-29,2"
"501-502 Zee- en kustvaart","2009","67,9","-20,8"
"501-502 Zee- en kustvaart","2010 1e kwartaal","61,4","-15,5"
"501-502 Zee- en kustvaart","2010 2e kwartaal","64,1","-6,7"
"501-502 Zee- en kustvaart","2010 3e kwartaal","63,5","-5,4"
"501-502 Zee- en kustvaart","2010 4e kwartaal","61,4","-3,0"
"501-502 Zee- en kustvaart","2010","62,6","-7,9"
"501-502 Zee- en kustvaart","2011 1e kwartaal","56,5","-8,0"
"501-502 Zee- en kustvaart","2011 2e kwartaal","61,7","-3,7"
"501-502 Zee- en kustvaart","2011 3e kwartaal","66,4","4,6"
"501-502 Zee- en kustvaart","2011 4e kwartaal","65,5","6,7"
"501-502 Zee- en kustvaart","2011","62,5","-0,1"
"501-502 Zee- en kustvaart","2012 1e kwartaal**","66,7","18,0"
"501-502 Zee- en kustvaart","2012 2e kwartaal*","68,2","10,5"
"503-504 Binnenvaart","2005 1e kwartaal","85,1"," "
"503-504 Binnenvaart","2005 2e kwartaal","100,2"," "
"503-504 Binnenvaart","2005 3e kwartaal","106,1"," "
"503-504 Binnenvaart","2005 4e kwartaal","108,6"," "
"503-504 Binnenvaart","2005","100,0"," "
"503-504 Binnenvaart","2006 1e kwartaal","102,4","20,4"
"503-504 Binnenvaart","2006 2e kwartaal","111,8","11,6"
"503-504 Binnenvaart","2006 3e kwartaal","119,2","12,4"
"503-504 Binnenvaart","2006 4e kwartaal","113,8","4,8"
"503-504 Binnenvaart","2006","111,8","11,8"
"503-504 Binnenvaart","2007 1e kwartaal","104,5","2,0"
"503-504 Binnenvaart","2007 2e kwartaal","122,2","9,3"
"503-504 Binnenvaart","2007 3e kwartaal","128,0","7,3"
"503-504 Binnenvaart","2007 4e kwartaal","128,3","12,7"
"503-504 Binnenvaart","2007","120,7","8,0"
"503-504 Binnenvaart","2008 1e kwartaal","121,9","16,6"
"503-504 Binnenvaart","2008 2e kwartaal","129,4","5,9"
"503-504 Binnenvaart","2008 3e kwartaal","133,5","4,3"
"503-504 Binnenvaart","2008 4e kwartaal","131,3","2,3"
"503-504 Binnenvaart","2008","129,0","6,8"
"503-504 Binnenvaart","2009 1e kwartaal","97,7","-19,9"
"503-504 Binnenvaart","2009 2e kwartaal","104,1","-19,5"
"503-504 Binnenvaart","2009 3e kwartaal","110,6","-17,1"
"503-504 Binnenvaart","2009 4e kwartaal","112,7","-14,1"
"503-504 Binnenvaart","2009","106,3","-17,6"
"503-504 Binnenvaart","2010 1e kwartaal","94,4","-3,3"
"503-504 Binnenvaart","2010 2e kwartaal","107,3","3,1"
"503-504 Binnenvaart","2010 3e kwartaal","117,2","6,0"
"503-504 Binnenvaart","2010 4e kwartaal","115,6","2,5"
"503-504 Binnenvaart","2010","108,6","2,2"
"503-504 Binnenvaart","2011 1e kwartaal","106,4","12,7"
"503-504 Binnenvaart","2011 2e kwartaal","129,9","21,0"
"503-504 Binnenvaart","2011 3e kwartaal","122,9","4,9"
"503-504 Binnenvaart","2011 4e kwartaal","126,2","9,2"
"503-504 Binnenvaart","2011","121,4","11,7"
"503-504 Binnenvaart","2012 1e kwartaal**","105,5","-0,8"
"503-504 Binnenvaart","2012 2e kwartaal*","117,1","-9,9"
"51 Vervoer door de lucht","2005 1e kwartaal","84,3"," "
"51 Vervoer door de lucht","2005 2e kwartaal","99,5"," "
"51 Vervoer door de lucht","2005 3e kwartaal","113,4"," "
